"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"108","Monday","13:50","PTEA-EI-6+PTEB-EI-6","E0451-EL462-2-VISI KOMPUTER** ","ERH+DDW","","02.03.04 - RUANG TE LAMA",""
"109","Tuesday","13:50","PTEA-EI-6+PTEB-EI-6","E0451-EL463-2-PERANCANGAN SISTEM ELEKTRONIKA**","INK","","405.1.04.132 - RUANG TE",""
"109","Tuesday","14:40","PTEA-EI-6+PTEB-EI-6","E0451-EL463-2-PERANCANGAN SISTEM ELEKTRONIKA**","INK","","405.1.04.132 - RUANG TE",""
"111","Monday","13:00","PTEB-EK-6+PTEA-EK-6","E0451-EL464-3-ANTENA DAN PROPAGASI**","AHS","","405.1.04.132 - RUANG TE",""
"111","Monday","13:50","PTEB-EK-6+PTEA-EK-6","E0451-EL464-3-ANTENA DAN PROPAGASI**","AHS","","405.1.04.132 - RUANG TE",""
"111","Monday","14:40","PTEB-EK-6+PTEA-EK-6","E0451-EL464-3-ANTENA DAN PROPAGASI**","AHS","","405.1.04.132 - RUANG TE",""
"112","Monday","09:30","PTEB-EK-6+PTEA-EK-6","E0451-EL465-3-SISTEM KOMUNIKASI OPTIK**","ARJ","","405.1.04.130- LAB. KOMPUTER",""
"112","Monday","10:20","PTEB-EK-6+PTEA-EK-6","E0451-EL465-3-SISTEM KOMUNIKASI OPTIK**","ARJ","","405.1.04.130- LAB. KOMPUTER",""
"112","Monday","11:10","PTEB-EK-6+PTEA-EK-6","E0451-EL465-3-SISTEM KOMUNIKASI OPTIK**","ARJ","","405.1.04.130- LAB. KOMPUTER",""
"113","Wednesday","08:40","PTEB-EI-6+PTEA-EI-6","E0451-EL466-2-KOMUNIKASI DATA**","EAJ+AHS","","02.03.02 - RUANG PTE LAMA",""
"113","Wednesday","09:30","PTEB-EI-6+PTEA-EI-6","E0451-EL466-2-KOMUNIKASI DATA**","EAJ+AHS","","02.03.02 - RUANG PTE LAMA",""
"115","Monday","09:30","PTEA-TTE-6+PTEB-TTE-6","E0451-EL467-2-ELEKTRONIKA DAYA **","DLH","","405.1.04.133 - RUANG D3",""
"115","Monday","10:20","PTEA-TTE-6+PTEB-TTE-6","E0451-EL467-2-ELEKTRONIKA DAYA **","DLH","","405.1.04.133 - RUANG D3",""
"116","Monday","13:00","PTEA-TTE-6+PTEB-TTE-6","E0451-EL468-2-OTOMASI KELISTRIKAN INDUSTRI**","YYS+MMS","","Lab-ELDAS",""
"116","Monday","13:50","PTEA-TTE-6+PTEB-TTE-6","E0451-EL468-2-OTOMASI KELISTRIKAN INDUSTRI**","YYS+MMS","","Lab-ELDAS",""
"117","Wednesday","07:00","PTEA-TTE-6+PTEB-TTE-6","E0451-EL469-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","SMT+WAS","","02.03.04 - RUANG TE LAMA",""
"117","Wednesday","07:50","PTEA-TTE-6+PTEB-TTE-6","E0451-EL469-2-PENGGUNAAN DAN PENGATURAN MOTOR LISTRIK","SMT+WAS","","02.03.04 - RUANG TE LAMA",""
"119","Tuesday","13:00","PTOIR-1","E5651-ER200-2-MATEMATIKA TEKNIK I","AGF+STA","","02.03.01 - RUANG D3 LAMA",""
"119","Tuesday","13:50","PTOIR-1","E5651-ER200-2-MATEMATIKA TEKNIK I","AGF+STA","","02.03.01 - RUANG D3 LAMA",""
"120","Thursday","13:00","PTOIR-1","E5651-ER201-2-PRAKTIKUM BENGKEL DAN K3","HSB+RPR","","405.1.04.133 - RUANG D3",""
"120","Thursday","13:50","PTOIR-1","E5651-ER201-2-PRAKTIKUM BENGKEL DAN K3","HSB+RPR","","405.1.04.133 - RUANG D3",""
"120","Thursday","14:40","PTOIR-1","E5651-ER201-2-PRAKTIKUM BENGKEL DAN K3","HSB+RPR","","405.1.04.133 - RUANG D3",""
"120","Thursday","15:30","PTOIR-1","E5651-ER201-2-PRAKTIKUM BENGKEL DAN K3","HSB+RPR","","405.1.04.133 - RUANG D3",""
"120","Thursday","16:20","PTOIR-1","E5651-ER201-2-PRAKTIKUM BENGKEL DAN K3","HSB+RPR","","405.1.04.133 - RUANG D3",""
"121","Wednesday","13:50","PTOIR-1","E5651-ER202-2-PENGUKURAN DAN INSTRUMENTASI","ERH+NFA","","Lab-ELIND",""
"121","Wednesday","14:40","PTOIR-1","E5651-ER202-2-PENGUKURAN DAN INSTRUMENTASI","ERH+NFA","","Lab-ELIND",""
"122","Tuesday","08:40","PTOIR-1","E5651-ER203-3-FISIKA II","WWP+MAQ","","405.1.04.133 - RUANG D3",""
"122","Tuesday","09:30","PTOIR-1","E5651-ER203-3-FISIKA II","WWP+MAQ","","405.1.04.133 - RUANG D3",""
"122","Tuesday","10:20","PTOIR-1","E5651-ER203-3-FISIKA II","WWP+MAQ","","405.1.04.133 - RUANG D3",""
"123","Thursday","08:40","PTOIR-1","E5651-ER204-2-MATERIAL TEKNIK ELEKTRO","WWP+REP","","405.1.04.132 - RUANG TE",""
"123","Thursday","09:30","PTOIR-1","E5651-ER204-2-MATERIAL TEKNIK ELEKTRO","WWP+REP","","405.1.04.132 - RUANG TE",""
"125","Tuesday","13:50","PTOIR-2","E5651-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","HSB+SAR","","",""
"125","Tuesday","14:40","PTOIR-2","E5651-TK302-2-KAJIAN TEKNOLOGI DAN VOKASI","HSB+SAR","","",""
"126","Monday","07:50","PTOIR-2","E5651-ER340-3-RANGKAIAN LISTRIK II","JKR+STA","","",""
"126","Monday","08:40","PTOIR-2","E5651-ER340-3-RANGKAIAN LISTRIK II","JKR+STA","","",""
"126","Monday","09:30","PTOIR-2","E5651-ER340-3-RANGKAIAN LISTRIK II","JKR+STA","","",""
"127","Tuesday","08:40","PTOIR-2","E5651-ER341-2-TEKNIK DIGITAL","MKH+RPR","","",""
"127","Tuesday","09:30","PTOIR-2","E5651-ER341-2-TEKNIK DIGITAL","MKH+RPR","","",""
"128","Thursday","13:00","PTOIR-2","E5651-ER342-2-MESIN LISTRIK","ELM+NPA","","",""
"128","Thursday","13:50","PTOIR-2","E5651-ER342-2-MESIN LISTRIK","ELM+NPA","","",""
"129","Thursday","07:00","PTOIR-2","E5651-ER343-2-PRAKTIKUM ELEKTRONIKA ANALOG DAN DIGITAL","ERH+NFA","","",""
"129","Thursday","07:50","PTOIR-2","E5651-ER343-2-PRAKTIKUM ELEKTRONIKA ANALOG DAN DIGITAL","ERH+NFA","","",""
"130","Tuesday","07:00","PTOIR-2","E5651-ER344-2-KOMPUTASI DAN ANALISIS NUMERIK","SAR+MAQ","","",""
"130","Tuesday","07:50","PTOIR-2","E5651-ER344-2-KOMPUTASI DAN ANALISIS NUMERIK","SAR+MAQ","","",""
"131","Wednesday","13:00","PTOIR-2","E5651-ER345-2-SENSOR DAN TRANSDUSER","DDW+REP","","",""
"131","Wednesday","13:50","PTOIR-2","E5651-ER345-2-SENSOR DAN TRANSDUSER","DDW+REP","","",""
"132","Tuesday","10:20","PTOIR-2","E5651-ER346-2-ELEKTRONIKA DAYA","DLH+MAR","","",""
"132","Tuesday","11:10","PTOIR-2","E5651-ER346-2-ELEKTRONIKA DAYA","DLH+MAR","","",""
