"Students Sets","Subject","Teachers","Activity Tags","Total Duration","Split Duration","Min Days","Weight","Consecutive"
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL445-2-ENERGI BARU DAN TERBARUKAN**","BTM/1235","",2,"2",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL441-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM/1766","",2,"2",,,
"2019*PTE-TTE-4","2018-4-DPTE-E0451-EL442-2-SISTEM DISTRIBUSI TENAGA LISTRIK","YDM/1766","",2,"2",,,
"","*SEM-2 PTOIR","","",1,"",,,
"2020*PTOIR","2018-2-DPTE-E5651-ER200-2-MATEMATIKA TEKNIK I","AGF/2055+STA/3183","",2,"2",,,
"2020*PTOIR","2018-2-DPTE-E5651-ER201-2-PRAKTIKUM BENGKEL DAN K3","HSB/2408+RPR/3172","",5,"5",,,
"2020*PTOIR","2018-2-DPTE-E5651-ER202-2-PENGUKURAN DAN INSTRUMENTASI","ERH/2407+NFA/3179","",2,"2",,,
"2020*PTOIR","2018-2-DPTE-E5651-ER203-3-FISIKA II","WWP/1848+MAQ/3204","",3,"3",,,
"2020*PTOIR","2018-2-DPTE-E5651-ER204-2-MATERIAL TEKNIK ELEKTRO","WWP/1848+REP/3186","",2,"2",,,
"","*SEM-T","","",1,"",,,
"2017*TE03","2018-2-DPTE-E5051-EE102-3-FISIKA DASAR II","AGF/2055+MAQ/3204","",3,"3",,,
"2017*TE03+2018*TE03-6","2018-4-DPTE-E5051-EE206-2-SINYAL DAN SISTEM","AIP/2355","",2,"2",,,
"2017*TE03+2018*TE03-6","2018-5-DPTE-E5051-EE208-2-TECHNOPRENEURSHIP","BTM/1235+MMS/2203","",2,"2",,,
"2018*TE03-6","2018-4-DPTE-E5051-EE212-3-MEDAN ELEKTROMAGNETIK II","JKR/0767","",3,"3",,,
"2017*TE03","2018-4-DPTE-E5051-EE214-2-ARSITEKTUR SISTEM DAN JARINGAN KOMPUTER","AHS/2410+DDW/2934","",2,"2",,,
"2017*TE03","2018-4-DPTE-E5051-EE218-2-PRAKTIKUM TEKNIK DIGITAL DAN SISTEM KENDALI","DNK/2654+MAR/3178","",5,"5",,,
"2017*TE03+2018*TE03-6","2018-6-DPTE-E5051-EE318-2-PRAKTIKUM TEKNIK TENAGA LISTRIK","IWR/1036+ELM/1751","",5,"5",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE302-3-MESIN LISTRIK","SMT/0541+WAS/2107","",3,"3",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE306-2-SISTEM DISTRIBUSI TENAGA LISTRIK","YDM/1766+MMS/2203","",2,"2",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE310-2-ELEKTRONIKA DAYA","DLH/2409","",2,"2",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE314-2-PERENCANAAN INSTALASI LISTRIK","IWR/1036+MSR/2094","",2,"2",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE402-2-TEKNIK TEGANGAN TINGGI (P)","HSB/2408","",2,"2",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE406-3-ANALISIS SISTEM TENAGA LISTRIK (P)","YDM/1766","",2,"2",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE410-2-KUALITAS DAYA LISTRIK (P)","WAS/2107","",2,"2",,,
"2018*TE03-6+2017*TE03","2018-6-DPTE-E5051-EE414-3-KEANDALAN SISTEM TENAGA LISTRIK (P)","TSM/1748","",3,"3",,,
"2017*TE03","2018-8-DPTE-E5051-EE594-2-KAPITA SELEKTA","TSM/1748+HLD","",2,"2",,,
"","*SEM-TAMBAH","","",1,"",,,
"2018*TE03","2018-7-DPTE-E5051-EE213-2-PRAKTIKUM PENGUKURAN LISTRIK DAN ELEKTRONIKA","HSB/2408+ELM/1751","",5,"5",,,
"2018*TE03","2018-7-DPTE-E5051-EE313-2-PRAKTIKUM SISTEM DIGITAL DAN MIKROPROSESOR","SSE/2202+DDW/2934","",5,"5",,,
"2018*TE03","2018-7-DPTE-E5051-EE513-2-EKONOMI ENERGI (P)","YDM/1766","",2,"2",,,
"2018*TE03","2018-7-DPTE-E5051-EE407-2-PROTEKSI SISTEM TENAGA LISTRIK","BCH/0539+MMS/2203","",2,"2",,,
"2018*TE03","2018-7-DPTE-E5051-EE109-2-KONVERSI ENERGI","BTM/1235","",2,"2",,,
"2018*TE03-6","2018-4-DPTE-E5051-EE205-2-EKONOMI TEKNIK","BTM/1235","",2,"2",,,
