"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"61","Wednesday","10:20","TE-EK-7","E5051-EE413-2-SISTEM KOMUNIKASI BERGERAK DAN NIRKABEL","AHS","","",""
"61","Wednesday","11:10","TE-EK-7","E5051-EE413-2-SISTEM KOMUNIKASI BERGERAK DAN NIRKABEL","AHS","","",""
"62","Monday","13:50","TE-EK-7","E5051-EE503-2-KEAMANAN JARINGAN TELEKOMUNIKASI (P)","EAJ","","",""
"62","Monday","14:40","TE-EK-7","E5051-EE503-2-KEAMANAN JARINGAN TELEKOMUNIKASI (P)","EAJ","","",""
"65","Monday","07:50","TE-EK-7","E5051-EE515-3-PENGOLAHAN SINYAL DAN APLIKASINYA (P)","DNK","","",""
"65","Monday","08:40","TE-EK-7","E5051-EE515-3-PENGOLAHAN SINYAL DAN APLIKASINYA (P)","DNK","","",""
"65","Monday","09:30","TE-EK-7","E5051-EE515-3-PENGOLAHAN SINYAL DAN APLIKASINYA (P)","DNK","","",""
"66","Tuesday","13:50","TE-EK-7","E5051-EE519-3-JARINGAN AKSES NIRKABEL (P)","INK","","",""
"66","Tuesday","14:40","TE-EK-7","E5051-EE519-3-JARINGAN AKSES NIRKABEL (P)","INK","","",""
"66","Tuesday","15:30","TE-EK-7","E5051-EE519-3-JARINGAN AKSES NIRKABEL (P)","INK","","",""
"67","Tuesday","07:50","TE-EK-7","E5051-EE523-2-SISTEM TELEMETRI (P)","AHS","","",""
"67","Tuesday","08:40","TE-EK-7","E5051-EE523-2-SISTEM TELEMETRI (P)","AHS","","",""
"68","Wednesday","13:00","TE-EK-7","E5051-EE535-2-VISI KOMPUTER (P)","DNK","","",""
"68","Wednesday","13:50","TE-EK-7","E5051-EE535-2-VISI KOMPUTER (P)","DNK","","",""
"69","Wednesday","07:50","TE-EK-7","E5051-EE537-2-SISTEM TERTANAM (P)","DDW","","",""
"69","Wednesday","08:40","TE-EK-7","E5051-EE537-2-SISTEM TERTANAM (P)","DDW","","",""
