"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"46","Monday","07:50","TE-TTE-7","E5051-EE407-2-PROTEKSI SISTEM TENAGA LISTRIK","BCH+MMS","","B2-03-PTOIR",""
"47","Monday","10:20","TE-TTE-7","E5051-EE411-3-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM+WAS","","B2-02-TE",""
"47","Monday","11:10","TE-TTE-7","E5051-EE411-3-SISTEM PEMBANGKIT TENAGA LISTRIK","TSM+WAS","","B2-02-TE",""
"48","Tuesday","13:00","TE-TTE-7","E5051-EE415-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM+NPA","","B2-03-PTOIR",""
"48","Tuesday","13:50","TE-TTE-7","E5051-EE415-2-SISTEM TRANSMISI TENAGA LISTRIK","YDM+NPA","","B2-03-PTOIR",""
"49","Wednesday","13:00","TE-TTE-7","E5051-EE501-3-OTOMASI INDUSTRI (P)","DDW+ERH","","B2-03-PTOIR",""
"49","Wednesday","13:50","TE-TTE-7","E5051-EE501-3-OTOMASI INDUSTRI (P)","DDW+ERH","","B2-03-PTOIR",""
"49","Wednesday","14:40","TE-TTE-7","E5051-EE501-3-OTOMASI INDUSTRI (P)","DDW+ERH","","B2-03-PTOIR",""
"51","Monday","13:00","TE-TTE-7","E5051-EE509-2-ENERGI TERBARUKAN (P)","YDM+SMT","","B2-02-TE",""
"51","Monday","13:50","TE-TTE-7","E5051-EE509-2-ENERGI TERBARUKAN (P)","YDM+SMT","","B2-02-TE",""
"52","Thursday","13:00","TE-TTE-7","E5051-EE513-2-EKONOMI ENERGI (P)","YDM+NPA","","B2-04-EX KOMP",""
"52","Thursday","13:50","TE-TTE-7","E5051-EE513-2-EKONOMI ENERGI (P)","YDM+NPA","","B2-04-EX KOMP",""
"53","Tuesday","10:20","TE-TTE-7","E5051-EE517-2-PENGGUNAAN KOMPUTER DALAM SISTEM TENAGA LISTRIK (P)","TSM","","B1-04-KOMP",""
"53","Tuesday","11:10","TE-TTE-7","E5051-EE517-2-PENGGUNAAN KOMPUTER DALAM SISTEM TENAGA LISTRIK (P)","TSM","","B1-04-KOMP",""
"54","Tuesday","07:00","TE-TTE-7","E5051-EE521-3-ELEKTRONIKA DAYA LANJUT (P)","DLH","","B2-02-TE",""
"54","Tuesday","07:50","TE-TTE-7","E5051-EE521-3-ELEKTRONIKA DAYA LANJUT (P)","DLH","","B2-02-TE",""
"54","Tuesday","08:40","TE-TTE-7","E5051-EE521-3-ELEKTRONIKA DAYA LANJUT (P)","DLH","","B2-02-TE",""
"55","Wednesday","07:00","TE-TTE-7","E5051-EE525-3-SISTEM TRANSPORTASI LISTRIK (P)","YDM+NPA","","B2-01-PTE",""
"55","Wednesday","07:50","TE-TTE-7","E5051-EE525-3-SISTEM TRANSPORTASI LISTRIK (P)","YDM+NPA","","B2-01-PTE",""
"55","Wednesday","08:40","TE-TTE-7","E5051-EE525-3-SISTEM TRANSPORTASI LISTRIK (P)","YDM+NPA","","B2-01-PTE",""
"56","Tuesday","14:40","TE-TTE-7","E5051-EE527-2-SISTEM CERDAS (P)","AGF","","B1-02-ELIND",""
"56","Tuesday","15:30","TE-TTE-7","E5051-EE527-2-SISTEM CERDAS (P)","AGF","","B1-02-ELIND",""
"57","Thursday","10:20","TE-TTE-7","E5051-EE539-2-SCADA DAN MANAJEMEN ENERGI (P)","ERH","","B1-02-ELIND",""
"57","Thursday","11:10","TE-TTE-7","E5051-EE539-2-SCADA DAN MANAJEMEN ENERGI (P)","ERH","","B1-02-ELIND",""
"58","Monday","07:00","TE-EK-7","E5051-EE401-2-PENGOLAHAN SINYAL DIGITAL","ARJ","","B1-131-KECIL",""
"58","Monday","07:50","TE-EK-7","E5051-EE401-2-PENGOLAHAN SINYAL DIGITAL","ARJ","","B1-131-KECIL",""
"59","Tuesday","08:40","TE-EK-7","E5051-EE405-2-DEVAIS SISTEM KOMUNIKASI","ARJ+NFA","","B1-07-SEM TELKOM",""
"59","Tuesday","09:30","TE-EK-7","E5051-EE405-2-DEVAIS SISTEM KOMUNIKASI","ARJ+NFA","","B1-07-SEM TELKOM",""
"60","Monday","10:20","TE-EK-7","E5051-EE409-2-SISTEM KOMUNIKASI OPTIK","ARJ","","B1-131-KECIL",""
"60","Monday","11:10","TE-EK-7","E5051-EE409-2-SISTEM KOMUNIKASI OPTIK","ARJ","","B1-131-KECIL",""
"61","Tuesday","07:00","TE-EK-7","E5051-EE413-2-SISTEM KOMUNIKASI BERGERAK DAN NIRKABEL","AHS","","B1-07-SEM TELKOM",""
"61","Tuesday","07:50","TE-EK-7","E5051-EE413-2-SISTEM KOMUNIKASI BERGERAK DAN NIRKABEL","AHS","","B1-07-SEM TELKOM",""
"62","Thursday","13:50","TE-EK-7","E5051-EE503-2-KEAMANAN JARINGAN TELEKOMUNIKASI (P)","EAJ+DNK","","B1-131-KECIL",""
"62","Thursday","14:40","TE-EK-7","E5051-EE503-2-KEAMANAN JARINGAN TELEKOMUNIKASI (P)","EAJ+DNK","","B1-131-KECIL",""
"66","Wednesday","07:50","TE-EK-7","E5051-EE519-3-JARINGAN AKSES NIRKABEL (P)","INK","","B1-07-SEM TELKOM",""
